aladdin_id,permid,issuer_name,exclusion_list_brs,ovr_list,affected_portfolio_str,affected_benchmark_str
808901,4295860592,Bank of Nova Scotia,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05402', 'str_004_asec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec']",[]
B02433,8589934333,Barclays PLC,"['str_001_s', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['EPV00060', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05273', 'str_004_asec', 'FIG05428', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPG00027', 'str_001_s', 'FPG00028', 'str_001_s', 'FPG00603', 'str_001_s', 'FPG01213', 'str_001_s', 'FPG01214', 'str_001_s', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec']",[]
05564X,8589934326,BNP Paribas SA,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['ADM0PSA1', 'scs_002_ec', 'CPE00264', 'str_003b_ec', 'CPE03002', 'str_003b_ec', 'CPE03002', 'str_003b_ec', 'CPE03913', 'str_003b_ec', 'CPE05245', 'str_003b_ec', 'CPE05340', 'str_003b_ec', 'EPV00043', 'str_001_s', 'EPV14005', 'str_001_s', 'EPV14005', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05273', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPG00004', 'str_sfdr8_aec', 'FPG00005', 'str_sfdr8_aec', 'FPG00010', 'str_sfdr8_aec', 'FPG00018', 'str_sfdr8_aec', 'FPG00112', 'str_001_s', 'FPG00233', 'str_sfdr8_aec', 'FPG00376', 'str_sfdr8_aec', 'FPG01072', 'str_001_s', 'FPG01072', 'str_001_s', 'FPG01119', 'str_sfdr8_aec', 'FPG01212', 'str_sfdr8_aec', 'FPG01278', 'str_003_ec', 'FPG01758', 'str_sfdr8_aec', 'FPG01758', 'str_sfdr8_aec', 'FPG15900', 'str_sfdr8_aec', 'FPG20002', 'str_sfdr8_aec', 'FPH00706', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0240', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'LXMS0730', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0516', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec']",[]
E81396,5000084509,Bpce SA,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['ADM0PSA2', 'scs_002_ec', 'CPE00448', 'str_003b_ec', 'EPV14005', 'str_001_s', 'EPV14005', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPG01072', 'str_001_s', 'FPG01072', 'str_001_s', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0730', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec']",[]
172967,8589934316,Citigroup Inc,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_001_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['ADM0PSA2', 'scs_002_ec', 'CPE00035', 'str_003b_ec', 'CPE00456', 'str_003b_ec', 'CPE03861', 'str_002_ec', 'CPE03867', 'str_003b_ec', 'CPE05137', 'str_003b_ec', 'CPE05318', 'str_003b_ec', 'EPH00107', 'str_004_asec', 'EPV14004', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPG01697', 'str_001_s', 'FPH00457', 'str_004_asec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'LXMS0720', 'str_001_s', 'PFI01549', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec']",[]
G33893,5000437425,Corporacion Acciona Energias Renovables SA,"['str_004_asec', 'scs_001_sec']","{'str_002_ec': 'EXCLUDED', 'str_004_asec': 'OK', 'scs_001_sec': 'OK', 'scs_002_ec': 'OK'}","['FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05273', 'str_004_asec', 'FIH00058', 'str_sfdr8_aec', 'FPG01079', 'str_001_s']",[]
128005,8589934312,Credit Agricole SA,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['CPE00035', 'str_003b_ec', 'CPE03861', 'str_002_ec', 'CPE03867', 'str_003b_ec', 'CPE04041', 'str_003b_ec', 'CPE04044', 'str_003b_ec', 'CPE04081', 'str_003b_ec', 'CPE05137', 'str_003b_ec', 'CPE05189', 'str_003b_ec', 'CPE05190', 'str_003b_ec', 'EPV14005', 'str_001_s', 'EPV14005', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05698', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPG01072', 'str_001_s', 'FPG01072', 'str_001_s', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0770', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec']",[]
251525,4295869482,Deutsche Bank AG,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'FLAG', 'str_002_ec': 'OK', 'str_003_ec': 'FLAG', 'str_003b_ec': 'OK', 'str_004_asec': 'FLAG', 'str_006_sec': 'FLAG', 'str_sfdr8_aec': 'FLAG', 'scs_001_sec': 'FLAG', 'scs_002_ec': 'EXCLUDED', 'str_005_ec': 'EXCLUDED', 'cs_003_sec': 'OK'}","['CPE03861', 'str_002_ec', 'CPE03912', 'str_003b_ec', 'CPE03912', 'str_003b_ec', 'EPV14005', 'str_001_s', 'EPV14005', 'str_001_s', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FPG01072', 'str_001_s', 'FPG01072', 'str_001_s', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0647', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec']",[]
G07060,5037629126,Eaton Corporation PLC,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec']",,"['EPV14004', 'str_001_s', 'FIG05774', 'str_sfdr8_aec', 'FPG01697', 'str_001_s', 'LXMS0720', 'str_001_s']",[]
38142U,4295911963,Goldman Sachs Group Inc,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['ADM0PSA1', 'scs_002_ec', 'ADM0PSA1', 'scs_002_ec', 'ADM0PSA2', 'scs_002_ec', 'EPH00107', 'str_004_asec', 'EPV14004', 'str_001_s', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG04868', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FPG01697', 'str_001_s', 'FPH00457', 'str_004_asec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0720', 'str_001_s', 'LXMS0770', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec']",[]
